,MoB,MoG,MoR,MeB,MeG,MeR,sdtB,stdG,stdR,MoB2,MoG2,MoR2,MeB2,MeG2,MeR2,sdtB2,stdG2,stdR2,hu1,hu2,hu3,hu4,hu5,hu6,hu7,Ncont,MinArea,MaxArea,ContConv,MinPer,MaxPeri,type,var2,var3,var
49,8.0,90.0,48.0,11.241429356570405,91.24634059452814,53.80264112338562,10.539561747179206,14.301924091882771,14.219811063157524,68.0,114.0,95.0,70.93470901120175,115.79014037632902,94.30480553677334,13.182342183843543,2.900736358661354,5.010882048346022,0.0015739406820104093,1.77397282275666e-07,4.5180146500484277e-10,1.4851867923737138e-10,-3.3457153009355134e-20,-5.01723561462373e-14,-1.899258460725743e-20,31.0,3122.5,0.5,1.0,5.414213538169861,15494.632382631302,2.0,,,
50,14.0,60.0,32.0,20.435301823534775,70.48851506380467,40.73782473287509,12.15216594029421,17.038788680940588,15.681747995861036,47.0,116.0,108.0,55.87808647260068,117.18251168076108,108.0031930066402,15.659463517377583,2.5089031207292476,4.520631608265681,0.0014137630365033858,7.726718581091903e-09,5.478891261898349e-11,2.1872937463169667e-11,-6.675125372036547e-22,-1.8422057900919374e-15,-3.5744839235827435e-22,25.0,2336.0,1.0,1.0,18.485281229019165,10632.767926096916,2.0,,,
51,16.0,62.0,34.0,22.699690057556158,73.12947691301494,42.6517062864535,12.222627394649049,18.153356112649533,16.339049716130933,48.0,116.0,108.0,58.261788753425435,116.85395475176952,107.93204229387865,16.427079605721737,2.7669506776769515,5.285167557901479,0.0014513503037138244,4.4570107415145134e-08,1.301712483339808e-10,4.450825778674428e-11,-1.2172789709781322e-21,-4.244227393465201e-15,-3.16155907849452e-21,40.0,543980.0,0.5,4.0,2.0,14318.45872604847,2.0,,,
52,9.0,81.0,49.0,13.155189029167273,79.04919779846462,50.73450046005631,10.256966421293361,13.869056047021955,13.605284555560745,64.0,117.0,97.0,63.09171710448775,119.19578937047062,99.81656628624118,12.81249143962827,2.556335779570673,4.646176935883266,0.0016523399232264062,3.3570195409107075e-08,2.1408939630299276e-10,2.6374384392178816e-11,1.4174792952684075e-21,-1.7325361836432981e-15,-1.3850946559927614e-21,38.0,2594.5,3.5,4.0,9.656854152679443,42317.487872838974,2.0,,,
53,8.0,78.0,47.0,12.443299216607317,75.53041765752504,48.493184086745046,9.929457530094192,13.741043524325548,13.337332709134989,61.0,118.0,99.0,60.27695114367883,119.6149154791475,101.01089115266578,12.652041096580605,2.4876513058165366,4.579221594653717,0.0016608554394012967,2.7373092295834316e-08,2.6123909914464845e-10,2.5272814804944908e-11,1.447335361891341e-21,-1.2288656772642197e-15,-1.4567689902685862e-21,37.0,2632.0,1.5,8.0,5.656854152679443,42986.85750186443,2.0,,,
54,16.0,56.0,29.0,20.807079139444525,66.73948306794901,38.97718498149926,10.455459448586819,16.556170987114413,15.07450959051554,43.0,118.0,111.0,53.19924083095078,117.86457080873409,109.71034588416153,14.869336655355797,2.9177755917707215,5.071917691640962,0.0016014322416454117,1.4077269178007984e-07,4.69863821944729e-10,1.6472270581095975e-12,-4.5620046269684203e-23,-5.746024445284947e-16,-4.3445133267245064e-24,29.0,2875.0,0.5,3.0,5.414213538169861,30535.10068655014,2.0,,,
55,15.0,55.0,29.0,20.282570083997356,66.74626538426514,39.104667374527786,10.464266686200427,16.59569360500799,15.055426044759677,42.0,118.0,110.0,53.17995644974348,117.964667356846,109.42404078482407,14.89211957343589,2.9081645164764867,5.0813239432939055,0.0016030642576711088,1.5136899924495069e-07,4.797486102241157e-10,1.8483087313278225e-12,-5.501679886917412e-23,-6.555847092174468e-16,-1.5546276243881618e-24,37.0,4872.5,0.5,6.0,2.8284270763397217,46441.07362508774,2.0,,,
56,16.0,73.0,38.0,18.170926378073386,82.63373531925247,46.965137215489925,13.86680948197784,18.38096110931301,17.109773028957605,58.0,113.0,102.0,64.61857793800455,115.40704443685038,101.78765027780287,16.902335697972564,2.9001543039037148,5.489189396961408,0.0017625419959054088,1.0168565973014613e-07,1.248505269175474e-09,2.1446348172734104e-10,9.848542194534895e-20,-1.858618514524228e-14,-5.1147589876344605e-20,11.0,3958.5,1.0,5.0,5.656854152679443,44296.54481446743,2.0,,,
57,15.0,76.0,38.0,18.15519961241774,81.4370702147564,46.30855464834355,13.225355001822615,17.7307226182683,16.38115226848415,57.0,113.0,101.0,63.72234726809536,115.58731337083272,102.28808087434761,16.237227028737497,2.915243126450726,5.241754374292469,0.001763047632496973,1.2723183814986057e-07,1.0199566905117512e-09,1.9739414784920375e-10,7.486629716826292e-20,-3.183327998598333e-14,-4.732743234565357e-20,13.0,1845050.5,2.0,2.0,5.656854152679443,21451.230175495148,2.0,,,
58,14.0,69.0,40.0,18.130810436751645,78.14548164160357,44.86592946338544,14.711556991389477,16.68069641656454,16.05160335613229,58.0,115.0,102.0,61.348208179007834,116.23367104469253,103.61587582509787,15.684825784591442,2.6984402838036683,5.022391742036818,0.001775298309868224,1.2550556397446973e-07,1.2095000391335603e-09,2.2310406156203725e-10,9.276439136138206e-20,-3.837990555300502e-14,-6.947219028287984e-20,15.0,3908.5,1.0,2.0,9.656854152679443,44080.42705273628,2.0,,,
